time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,custom/max_height,time/fps,custom/current_screen,rollout/ep_len_mean,time/iterations,train/value_loss,train/learning_rate,train/policy_gradient_loss,train/explained_variance,train/loss,train/entropy_loss,train/approx_kl,train/clip_range,train/clip_fraction,train/n_updates
22868,69632,114.78579259000001,9778.0,3,28,81.29,34,2506.971389389038,0.0001,-0.00047058679920155557,0.11700063943862915,881.388671875,-0.06795345427235588,0.0011093218,0.2,0.00595703125,165
23548,71680,143.21616609999998,9930.0,3,28,81.18,35,2386.499757385254,0.0001,-0.0004082480547367595,0.12082087993621826,1000.6862182617188,-0.08040356531273574,0.00043277617,0.2,0.00185546875,170
24261,73728,139.20568823000002,9898.0,3,28,83.21,36,1866.8109405517578,0.0001,-0.0015725166369520594,0.14957362413406372,889.4562377929688,-0.07727177904453128,0.0006001961,0.2,0.00517578125,175
24960,75776,138.58122595999998,9794.0,3,28,85.72,37,2847.6912109375,0.0001,-0.0009818772028665989,0.018944919109344482,1206.1224365234375,-0.0804603383061476,0.0007466437,0.2,0.01083984375,180
25651,77824,116.25005794,9794.0,3,28,85.75,38,2649.293114852905,0.0001,0.0004435780021594837,0.028380990028381348,683.80224609375,-0.08073160345666111,0.0014444964,0.2,0.01279296875,185
26339,79872,119.72938793999998,9898.0,3,28,85.3,39,3361.513092624154,0.0001,-0.0014001027218238185,0.02778249979019165,2532.058349609375,-0.08672989371001341,0.0032821277,0.2,0.012738853503184714,190
27068,81920,134.40747621999998,9898.0,3,28,83.68,40,2060.540469741821,0.0001,-0.0005039705749368296,0.1438518762588501,829.6005859375,-0.10092878516297787,0.0004857915,0.2,0.00341796875,195
27770,83968,121.04227406,9794.0,3,28,80.91,41,1784.035958480835,0.0001,-0.00039845811552368103,0.19623857736587524,1175.088134765625,-0.10114299613051117,0.000980404,0.2,0.0076171875,200
28467,86016,132.36162804000003,9778.0,3,28,81.31,42,2999.28791847229,0.0001,-0.001380614677327685,0.05110812187194824,2270.004638671875,-0.08858236426021904,0.0006375227,0.2,0.00576171875,205
29167,88064,120.98820479000001,9794.0,3,28,79.7,43,2803.90185508728,0.0001,-0.0002509527315851301,0.06450796127319336,1610.4749755859375,-0.09040883001871407,0.0016299745,0.2,0.005078125,210
