rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/total_timesteps,custom/max_height,time/time_elapsed,custom/current_screen,time/iterations,train/explained_variance,train/clip_fraction,train/entropy_loss,train/value_loss,train/n_updates,train/policy_gradient_loss,train/learning_rate,train/clip_range,train/loss,train/approx_kl
0.0,1,8.0,29696,-302.0,29570,0,58,-70.67837524414062,0.1142578125,-2.9846053034067155,0.00029427946053601773,570,-0.02672419748851098,0.0003,0.2,-0.025988029316067696,0.012308939
0.0,1,8.0,30208,-302.0,30086,0,59,-58.78926467895508,0.0734375,-2.9243170619010925,3.977566535695587e-06,580,-0.024137875085580164,0.0003,0.2,-0.04303545504808426,0.009244491
0.0,1,8.0,30720,-302.0,30605,0,60,-82.4595718383789,0.122265625,-2.9340105772018434,2.4575700895423936e-07,590,-0.02340304813114926,0.0003,0.2,-0.044613029807806015,0.01168595
-0.03,1,8.0,31232,-158.0,31119,0,61,-174.2961883544922,0.0751953125,-2.90848089158535,1.17349554321855e-05,600,-0.020249270618660376,0.0003,0.2,-0.026160048320889473,0.008404397
-0.06,1,8.0,31744,-302.0,31631,0,62,-0.0001100301742553711,0.0775390625,-2.9063108593225477,0.07809980457814732,610,-0.016733772243605928,0.0003,0.2,0.011769905686378479,0.008511558
-0.15,1,8.0,32256,-302.0,32145,0,63,-0.018352150917053223,0.080859375,-2.906562829017639,0.19586034278763692,620,-0.021742452564649285,0.0003,0.2,-0.02084949053823948,0.012395056
-0.09,1,8.0,32768,-302.0,32664,0,64,-0.059323787689208984,0.136328125,-2.8869724839925768,0.4631218129274203,630,-0.018952166553935966,0.0003,0.2,0.003027976956218481,0.011354351
-0.03,1,8.0,33280,-302.0,33184,0,65,-42.10698318481445,0.0806640625,-2.8410579353570937,0.007642805905197747,640,-0.02632943947101012,0.0003,0.2,-0.009547957219183445,0.011765046
-0.06,1,8.0,33792,-302.0,33709,0,66,-0.010194540023803711,0.098828125,-2.823886916041374,0.07885393788965303,650,-0.016241339204134418,0.0003,0.2,-0.023895423859357834,0.011397261
-0.06,1,8.0,34304,-302.0,34232,0,67,0.008662283420562744,0.114453125,-2.8077191054821014,0.11466441898373887,660,-0.015228695707628503,0.0003,0.2,0.07541216909885406,0.010948982
-0.03,1,8.0,34816,-302.0,34748,0,68,-0.07297790050506592,0.1583984375,-2.790905851125717,0.057477924309205265,670,-0.02598833653028123,0.0003,0.2,-0.036532752215862274,0.014166664
-0.03,1,8.0,35328,-302.0,35272,0,69,-0.050893425941467285,0.15390625,-2.7561516970396043,0.08735452145483577,680,-0.020620018255431204,0.0003,0.2,0.01989719271659851,0.012592191
-0.09,1,8.0,35840,-302.0,35786,0,70,0.0015054941177368164,0.156640625,-2.782027506828308,0.0779230746848043,690,-0.02103375146398321,0.0003,0.2,-0.05172520875930786,0.013042862
-0.09,1,8.0,36352,-302.0,36303,0,71,-0.021294355392456055,0.0923828125,-2.752068650722504,0.19131140206882263,700,-0.01866049967939034,0.0003,0.2,-0.0463443286716938,0.0103861205
-0.06,1,8.0,36864,-302.0,36816,0,72,0.019645333290100098,0.1939453125,-2.785439220070839,0.09325757113983854,710,-0.020704740902874618,0.0003,0.2,0.02876940183341503,0.014868869
-0.03,1,8.0,37376,-302.0,37318,0,73,-0.11365056037902832,0.1296875,-2.761954751610756,0.06888950668799225,720,-0.021117724035866557,0.0003,0.2,-0.04065437614917755,0.011448562
-0.15,1,8.0,37888,-158.0,37812,0,74,-0.05505216121673584,0.174609375,-2.7815895855426787,0.06820834495883901,730,-0.01927908352809027,0.0003,0.2,0.018396645784378052,0.017397787
-0.12,1,8.0,38400,-302.0,38311,0,75,0.04213547706604004,0.0494140625,-2.766749531030655,0.26168710515485144,740,-0.01237633645068854,0.0003,0.2,0.3447086215019226,0.007938249
0.0,1,8.0,38912,-302.0,38812,0,76,-93.65654754638672,0.157421875,-2.7551178634166718,0.004359958048371482,750,-0.021641799481585622,0.0003,0.2,-0.06623341888189316,0.016262088
-0.03,1,8.0,39424,-302.0,39311,0,77,-107.62850189208984,0.09140625,-2.742659604549408,5.5827640748873365e-05,760,-0.020044057816267013,0.0003,0.2,-0.024464907124638557,0.011792537
0.0,1,8.0,39936,-158.0,39800,0,78,-0.008942484855651855,0.0716796875,-2.7063778817653654,0.017766713558012272,770,-0.014298956573475153,0.0003,0.2,-0.008220186457037926,0.009064754
-0.06,1,8.0,40448,-158.0,40287,0,79,-115.59833526611328,0.1814453125,-2.6931314140558245,4.46922851921272e-05,780,-0.02947904379107058,0.0003,0.2,-0.025636719539761543,0.01766132
-0.12,1,8.0,40960,-158.0,40772,0,80,-0.00010180473327636719,0.2427734375,-2.648541098833084,0.15000574370496905,790,-0.01917860871180892,0.0003,0.2,-0.00829052273184061,0.013983289
