time/time_elapsed,time/iterations,custom/max_height,rollout/ep_len_mean,rollout/ep_rew_mean,custom/current_screen,time/fps,time/total_timesteps,train/approx_kl,train/loss,train/clip_fraction,train/n_updates,train/learning_rate,train/entropy_loss,train/explained_variance,train/clip_range,train/value_loss,train/policy_gradient_loss
12985,87,650.0,11.14,165.83918920999997,2,0,11136,0.00017753523,7918.41015625,0.0,430,0.0001,-0.5793423056602478,-0.0014473199844360352,0.2,16663.13603515625,-0.001566289598122239
13140,88,650.0,11.17,169.11602431,2,0,11264,0.0008858475,6779.7802734375,0.0015625,435,0.0001,-0.630459862947464,0.03371238708496094,0.2,13463.6828125,-0.004767576791346073
13299,89,490.0,11.32,175.68579662000005,2,0,11392,0.0019148947,8819.4345703125,0.0125,440,0.0001,-0.5575172126293182,0.0298195481300354,0.2,16879.89873046875,-0.0012563071679323912
13455,90,442.0,11.08,181.73771295000003,2,0,11520,0.0006491635,7770.884765625,0.003125,445,0.0001,-0.5674131214618683,-0.0010194778442382812,0.2,16123.1322265625,-0.00417481092736125
13612,91,442.0,10.88,184.62652581999996,2,0,11648,0.0002441085,9020.5341796875,0.0,450,0.0001,-0.5698963344097138,0.015600621700286865,0.2,17364.73984375,-0.0019370781257748604
13764,92,442.0,10.91,181.19522856000003,2,0,11776,0.00017394964,8981.142578125,0.0,455,0.0001,-0.572403347492218,-0.0028204917907714844,0.2,18940.0423828125,-0.0006492594256997108
13924,93,442.0,10.88,175.23285930999998,2,0,11904,0.0006857738,7927.814453125,0.003125,460,0.0001,-0.542936486005783,-0.0016463994979858398,0.2,16772.951953125,-0.004319988936185837
14081,94,626.0,11.07,188.82422627000008,2,0,12032,0.0015925812,7175.83251953125,0.0140625,465,0.0001,-0.5302653044462204,-0.003464937210083008,0.2,14610.2759765625,-0.008200925774872303
14233,95,650.0,10.92,181.29794733999998,2,0,12160,0.00015057437,8362.7646484375,0.0,470,0.0001,-0.5295876622200012,0.011205911636352539,0.2,16845.59794921875,0.0011471762321889401
14397,96,522.0,10.82,179.27820431,2,0,12288,0.001742674,8155.9609375,0.0140625,475,0.0001,-0.5435716032981872,0.007521092891693115,0.2,15154.62216796875,-0.004923548735678196
14557,97,490.0,10.69,166.48063576999996,2,0,12416,0.0006495821,6761.05224609375,0.0015625,480,0.0001,-0.5322004199028015,0.0055141448974609375,0.2,13573.37724609375,-0.0036395534873008726
14714,98,626.0,10.59,166.51970976999996,2,0,12544,0.00086034834,7758.55322265625,0.003125,485,0.0001,-0.5312999248504638,0.0008503198623657227,0.2,15699.32763671875,-0.003087168466299772
14868,99,442.0,10.78,166.21659867,2,0,12672,0.00038874196,7611.76318359375,0.0,490,0.0001,-0.5528112411499023,-0.002342700958251953,0.2,15529.11943359375,-0.004508841969072819
15023,100,442.0,11.02,166.13445582,2,0,12800,0.00079883076,8162.49658203125,0.003125,495,0.0001,-0.5442055881023407,0.017117679119110107,0.2,16458.79658203125,-0.004739770758897066
15177,101,442.0,10.79,166.39368308999997,2,0,12928,0.00044540875,7748.25390625,0.0,500,0.0001,-0.5645015507936477,0.005458533763885498,0.2,16010.43271484375,-0.005380332097411155
15331,102,442.0,10.66,159.22668309,2,0,13056,0.00210123,8279.9931640625,0.0078125,505,0.0001,-0.5069587349891662,0.006458580493927002,0.2,16624.99296875,-0.005011895950883627
15493,103,538.0,10.67,154.76984514999995,2,0,13184,0.000847775,8606.28515625,0.0015625,510,0.0001,-0.5153548181056976,0.009218454360961914,0.2,17424.8916015625,-0.0034688916988670827
