time/iterations,time/fps,custom/current_screen,rollout/ep_len_mean,custom/max_height,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,train/entropy_loss,train/policy_gradient_loss,train/value_loss,train/n_updates,train/clip_fraction,train/clip_range,train/learning_rate,train/explained_variance,train/loss,train/approx_kl
44,1,37,13.77,13258.0,384.26418724999996,19831,22528,-0.5056549027562142,-0.01077863632235676,55212.0208984375,210,0.01796875,0.2,0.0001,-1.71661376953125e-05,26619.18359375,0.0026559648
45,1,37,12.28,13258.0,324.03559423999997,20304,23040,-0.5101542383432388,-0.008747607271652668,51225.92392578125,215,0.030078125,0.2,0.0001,-1.0013580322265625e-05,29265.509765625,0.0042601665
46,1,37,11.07,13026.0,258.90380251,20801,23552,-0.4981101281940937,-0.010953186894766986,54925.34521484375,220,0.046875,0.2,0.0001,4.38690185546875e-05,27010.251953125,0.010546096
47,1,37,11.25,13026.0,309.86109448999997,21240,24064,-0.5024877215425173,-0.012064006955673298,47743.144856770836,222,0.052083333333333336,0.2,0.0001,-2.86102294921875e-06,25557.39453125,0.026767643
48,1,37,12.77,13258.0,360.04952267999994,21655,24576,-0.5037795647978782,-0.005675535323098302,58078.5521484375,227,0.04375,0.2,0.0001,-1.4543533325195312e-05,26896.7734375,0.0055106557
49,1,37,13.1,13202.0,411.19608968,22078,25088,-0.48795775026082994,-0.004479246970731765,48683.37705078125,232,0.016796875,0.2,0.0001,-1.6808509826660156e-05,23837.970703125,0.00546304
50,1,37,12.26,13258.0,356.16932584,22553,25600,-0.4990513488650322,-0.01062510390765965,55097.5947265625,237,0.0328125,0.2,0.0001,-1.1563301086425781e-05,26897.765625,0.0035478263
51,1,37,11.72,13058.0,335.26642819,22989,26112,-0.4989586755633354,-0.011811284977011383,55817.72197265625,242,0.0265625,0.2,0.0001,-4.410743713378906e-06,28092.26953125,0.0068489863
52,1,37,11.89,13026.0,383.46510837,23415,26624,-0.4877589583396912,-0.0071865112986415625,54685.159765625,247,0.013671875,0.2,0.0001,-8.344650268554688e-06,26863.33203125,0.0036851587
53,1,37,12.37,13282.0,401.50190137,23824,27136,-0.4905352495610714,-0.007727676327340305,58950.0267578125,252,0.0203125,0.2,0.0001,-1.1563301086425781e-05,30985.638671875,0.0073298337
54,1,37,13.74,13026.0,388.91005877,24231,27648,-0.49219286888837815,-0.007915882323868573,54374.5251953125,257,0.028515625,0.2,0.0001,-8.344650268554688e-06,24394.3203125,0.004689185
55,1,37,13.88,13026.0,337.03676056999996,24673,28160,-0.5194598712027073,-0.007410454761702568,47093.41396484375,262,0.046484375,0.2,0.0001,-5.125999450683594e-06,25974.673828125,0.006727494
56,1,37,13.65,13058.0,328.72140221999996,25098,28672,-0.4876457303762436,-0.007914269808679819,47509.124755859375,264,0.0439453125,0.2,0.0001,2.1696090698242188e-05,24315.7734375,0.019686362
