custom/max_height,time/total_timesteps,rollout/ep_len_mean,time/iterations,custom/current_screen,rollout/ep_rew_mean,time/time_elapsed,time/fps,train/explained_variance,train/value_loss,train/clip_range,train/approx_kl,train/entropy_loss,train/clip_fraction,train/learning_rate,train/n_updates,train/policy_gradient_loss,train/loss
12658.0,67584,7.57,33,36,-42.09352456000001,97525,0,0.20733070373535156,3358.519380187988,0.2,0.0049514044,-2.1316098988056185,0.01884765625,0.0001,437,-0.006364014552673325,1984.20703125
12658.0,69632,6.06,34,36,-59.06919705999999,100451,0,0.18322181701660156,3251.9525352478026,0.2,0.002431306,-2.123726812005043,0.00654296875,0.0001,442,-0.003689885608037002,1316.5712890625
12658.0,71680,7.34,35,36,-40.65079996,103290,0,0.18117588758468628,3253.582888031006,0.2,0.0026565515,-2.1236762553453445,0.01455078125,0.0001,447,-0.004504682309925556,2005.172119140625
12658.0,73728,7.17,36,36,-56.96644486,106005,0,0.22332078218460083,2869.3516624450685,0.2,0.0020148186,-2.1300228238105774,0.00224609375,0.0001,452,-0.0026789102819748225,1382.7763671875
12658.0,75776,6.65,37,36,-43.81421765,108760,0,0.1727994680404663,3356.3308975219725,0.2,0.00528739,-2.119536507129669,0.0169921875,0.0001,457,-0.007095764699624851,1791.9595947265625
12722.0,77824,7.26,38,36,-52.60970932,111600,0,0.18611496686935425,3565.492057800293,0.2,0.0035493905,-2.119983786344528,0.0130859375,0.0001,462,-0.005166743471636437,1901.11669921875
12722.0,79872,6.75,39,36,-49.00089279999998,114379,0,0.21384721994400024,3077.0998153686523,0.2,0.002074293,-2.1109207436442374,0.00263671875,0.0001,467,-0.003261598863173276,1070.1671142578125
12658.0,81920,6.91,40,36,-45.9515704,117161,0,0.1563471555709839,4524.424723815918,0.2,0.0036692468,-2.112311640381813,0.01923828125,0.0001,472,-0.003935041054501198,4416.3125
12656.74,83968,7.31,41,36,-43.78975917,119904,0,0.2393626570701599,3013.9436614990236,0.2,0.002251596,-2.125179773569107,0.0052734375,0.0001,477,-0.001340612415515352,1607.0599365234375
12658.0,86016,6.64,42,36,-49.20673972,122734,0,0.21736466884613037,3222.542589569092,0.2,0.00435772,-2.127713592350483,0.01455078125,0.0001,482,-0.003936980069556739,1436.737548828125
12658.0,88064,6.32,43,36,-50.873052720000004,125544,0,0.23566794395446777,3002.3257972717283,0.2,0.0028576618,-2.1429560765624047,0.001171875,0.0001,487,-0.0034740441318717786,1091.08251953125
12722.0,90112,6.94,44,36,-45.57533316000001,128292,0,0.1836490035057068,3659.2221954345705,0.2,0.0034324531,-2.128444768488407,0.00439453125,0.0001,492,-0.0036369007284520194,2272.134521484375
