rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,time/fps,custom/max_height,custom/current_screen,time/iterations,train/n_updates,train/value_loss,train/policy_gradient_loss,train/clip_fraction,train/loss,train/approx_kl,train/learning_rate,train/explained_variance,train/clip_range,train/entropy_loss
-0.2025,35195,5.33,45056,1,186.0,1,88,870,137.03706645965576,-0.011323062685551121,0.02734375,50.82054138183594,0.0022680075,0.0003,0.1518518328666687,0.2,-0.303165447153151
-0.0175,35419,5.96,45568,1,186.0,1,89,880,128.16161661148072,-0.01644300685438793,0.048046875,120.7370376586914,0.003621114,0.0003,0.2377312183380127,0.2,-0.4038183819502592
0.155,35671,5.56,46080,1,186.0,1,90,890,4.121064941813529,-0.0064108521968591955,0.006640625,0.09872844070196152,0.0018173783,0.0003,0.07962334156036377,0.2,-0.03646621298976242
0.0,35891,6.0,46592,1,186.0,1,91,900,94.8530127286911,-0.016733713023131713,0.04765625,80.96929931640625,0.003615223,0.0003,0.09301602840423584,0.2,-0.18245783392339945
0.0,36112,6.0,47104,1,186.0,1,92,910,0.011220686697924975,-1.7338898032903672e-07,0.0,0.000604828295763582,0.0,0.0003,0.0,0.2,-0.024305101437494158
0.0,36334,6.0,47616,1,186.0,1,93,920,8.20633832574913e-05,-0.00010891788988374174,0.0017578125,3.0869805414113216e-06,0.0002235031,0.0003,0.0,0.2,-0.0214042232837528
-0.0075,36555,5.97,48128,1,186.0,1,94,930,1.0312430112513482e-06,-9.072828106582165e-08,0.0,-4.58512062095906e-07,0.0,0.0003,0.0,0.2,-0.0209090244024992
-0.017500000000000036,36825,5.73,48640,1,186.0,1,95,940,0.628116811177502,-0.006360137148294598,0.0046875,0.00043814413947984576,0.0015066644,0.0003,0.4061577320098877,0.2,-0.020019900402985513
0.16999999999999993,37112,5.52,49152,1,186.0,1,96,950,120.8469877243042,-0.009707041492220014,0.021875,27.243074417114258,0.0027318548,0.0003,0.101887047290802,0.2,-0.29812273047864435
0.4625,37334,5.84,49664,1,186.0,1,97,960,163.71905794143677,-0.022220792790176348,0.0732421875,96.99664306640625,0.009345654,0.0003,0.17625576257705688,0.2,-0.5456340618431568
0.0,37555,6.0,50176,1,186.0,1,98,970,4.063308509412673,-0.00233316411395208,0.0015625,0.0019454804714769125,0.0013279382,0.0003,-0.16615045070648193,0.2,-0.01378475861856714
