custom/current_screen,rollout/ep_len_mean,time/total_timesteps,time/fps,time/iterations,time/time_elapsed,custom/max_height,rollout/ep_rew_mean,train/clip_fraction,train/explained_variance,train/n_updates,train/entropy_loss,train/clip_range,train/approx_kl,train/value_loss,train/policy_gradient_loss,train/loss,train/learning_rate
0,5.07,16384,1,32,13069,-302.0,-1.2399999999999998,0.1171875,0.25903403759002686,310,-2.3534539699554444,0.2,0.011603909,251.54364261627197,-0.025103389867581427,126.50945281982422,0.0003
0,5.01,16896,1,33,13495,-158.0,-0.7469999999999996,0.0642578125,0.24426984786987305,320,-2.3781960278749468,0.2,0.008512464,243.299578666687,-0.024277842801529913,140.6211700439453,0.0003
0,4.76,17408,1,34,13933,-302.0,-1.4274999999999993,0.052734375,0.15331286191940308,330,-2.333646261692047,0.2,0.009369196,242.77936859130858,-0.019724995933938772,97.51783752441406,0.0003
0,4.91,17920,1,35,14366,-158.0,-0.5689999999999997,0.0708984375,0.20442771911621094,340,-2.335843765735626,0.2,0.00917903,301.2678611755371,-0.02130531969596632,143.82716369628906,0.0003
0,5.02,18432,1,36,14811,-302.0,-1.3474999999999997,0.092578125,0.12987011671066284,350,-2.3624594062566757,0.2,0.01173657,238.93354816436766,-0.02376347332028672,106.6673812866211,0.0003
0,5.21,18944,1,37,15243,-302.0,-1.4099999999999997,0.0931640625,0.30401313304901123,360,-2.229010024666786,0.2,0.013313208,190.42643518447875,-0.018031240499112755,92.57406616210938,0.0003
0,4.73,19456,1,38,15677,-158.0,-1.3325000000000005,0.0603515625,0.19076448678970337,370,-2.3541076123714446,0.2,0.00872773,215.38868942260743,-0.014019589056260884,131.70423889160156,0.0003
0,4.98,19968,1,39,16121,-302.0,-1.0649999999999995,0.062109375,0.3081662654876709,380,-2.350501689314842,0.2,0.009489816,270.09123783111573,-0.01846381459617987,116.34427642822266,0.0003
0,4.87,20480,1,40,16557,-158.0,-1.6749999999999998,0.1095703125,0.33813679218292236,390,-2.1997205048799513,0.2,0.011613339,251.44653205871583,-0.02020722269080579,117.94063568115234,0.0003
0,4.88,20992,1,41,16994,-158.0,-0.7494999999999996,0.1330078125,0.2571849226951599,400,-2.3353609055280686,0.2,0.0132338675,257.1147249221802,-0.023280107404571027,113.99864959716797,0.0003
0,4.7,21504,1,42,17425,-302.0,-0.805,0.0658203125,0.19045835733413696,410,-2.306434628367424,0.2,0.009688646,259.63447666168213,-0.01509638795396313,112.73517608642578,0.0003
0,4.85,22016,1,43,17853,-302.0,-0.7794999999999999,0.079296875,0.12073612213134766,420,-2.3395467787981032,0.2,0.010332078,332.7747806549072,-0.020433621830306947,161.67152404785156,0.0003
0,4.9,22528,1,44,18282,-158.0,-0.5450000000000002,0.037890625,0.2861289978027344,430,-2.3334641635417936,0.2,0.010069627,245.78208847045897,-0.015291653067106382,104.71102905273438,0.0003
0,4.93,23040,1,45,18704,-158.0,-1.0694999999999997,0.1037109375,0.14359456300735474,440,-2.334541469812393,0.2,0.009313623,298.10720958709715,-0.02538756385911256,182.19778442382812,0.0003
0,4.76,23552,1,46,19141,-158.0,-0.8399999999999995,0.0666015625,0.22588598728179932,450,-2.3101812690496444,0.2,0.011989554,242.46955261230468,-0.021888912469148637,117.46981048583984,0.0003
0,4.89,24064,1,47,19590,-302.0,-1.6379999999999995,0.0421875,0.22216910123825073,460,-2.251634657382965,0.2,0.011947911,329.1937414169312,-0.020896583501598797,171.4154815673828,0.0003
0,4.87,24576,1,48,20025,-302.0,-1.3579999999999999,0.0685546875,0.28390389680862427,470,-2.2221496641635894,0.2,0.008878903,260.7286500930786,-0.018298284977208822,99.90523529052734,0.0003
0,4.69,25088,1,49,20451,-302.0,-0.7069999999999996,0.1158203125,0.27277129888534546,480,-2.2630399793386458,0.2,0.011276136,260.7445686340332,-0.021936619479674846,98.37451934814453,0.0003
0,4.65,25600,1,50,20882,-158.0,-0.8674999999999996,0.08125,0.2616260051727295,490,-2.2990176022052764,0.2,0.012204066,298.44685287475585,-0.0234157130937092,204.56996154785156,0.0003
0,5.0,26112,1,51,21314,-158.0,-0.9294999999999998,0.1087890625,0.2537657618522644,500,-2.2815432608127595,0.2,0.0112055205,261.1809478759766,-0.027632990619167686,156.60623168945312,0.0003
0,4.89,26624,1,52,21755,-302.0,-1.3979999999999995,0.1060546875,0.26801538467407227,510,-2.3263120383024214,0.2,0.010410295,239.49435844421387,-0.02378776266705245,126.8394546508789,0.0003
0,4.98,27136,1,53,22191,-158.0,-1.035,0.0630859375,0.16597479581832886,520,-2.2743120789527893,0.2,0.009593319,276.2743381500244,-0.01792403026483953,98.98756408691406,0.0003
0,5.02,27648,1,54,22630,-158.0,-1.2000000000000002,0.145703125,0.24060922861099243,530,-2.22198580801487,0.2,0.014304199,265.3022041320801,-0.028920902835670857,151.6317138671875,0.0003
0,4.8,28160,1,55,23072,-14.0,-0.7944999999999999,0.120703125,0.29180312156677246,540,-2.280462771654129,0.2,0.013650386,270.60919704437254,-0.022337816609069704,137.5716094970703,0.0003
0,4.94,28672,1,56,23504,-158.0,-1.2225000000000004,0.0990234375,0.27907925844192505,550,-2.2768055200576782,0.2,0.01266264,256.9604383468628,-0.01821562714758329,136.3803253173828,0.0003
0,4.71,29184,1,57,23928,-158.0,-0.93,0.1337890625,0.12985378503799438,560,-2.303321507573128,0.2,0.012678415,338.1068794250488,-0.029472860804526137,133.3697509765625,0.0003
0,4.66,29696,1,58,24370,-302.0,-1.3880000000000001,0.1015625,0.24420607089996338,570,-2.2987117528915406,0.2,0.0133559145,252.17646923065186,-0.02667486461577937,110.69931030273438,0.0003
