Start session - 5/17/2026 6:19PM
150.00,-297.14,283.00,-302.00,19,0.3167;150.00,-297.14|153.50,-292.54|157.00,-288.20|160.50,-284.11|164.00,-280.29|167.50,-276.71|171.00,-273.40|174.50,-270.34|178.00,-267.54|181.50,-265.00|185.00,-262.71|188.50,-260.69|192.00,-258.91|195.50,-257.40|199.00,-256.14|202.50,-255.14|206.00,-254.40|209.50,-253.91|213.00,-253.69|216.50,-253.71|220.00,-254.00|223.50,-254.54|227.00,-255.34|230.50,-256.40|234.00,-257.71|237.50,-259.29|241.00,-261.11|244.50,-263.20|248.00,-265.54|251.50,-268.14|255.00,-271.00|258.50,-274.11|262.00,-277.49|265.50,-281.11|269.00,-285.00|272.50,-289.14|276.00,-293.54|279.50,-298.20
168.00,-297.14,301.00,-302.00,19,0.3167;168.00,-297.14|171.50,-292.54|175.00,-288.20|178.50,-284.11|182.00,-280.29|185.50,-276.71|189.00,-273.40|192.50,-270.34|196.00,-267.54|199.50,-265.00|203.00,-262.71|206.50,-260.69|210.00,-258.91|213.50,-257.40|217.00,-256.14|220.50,-255.14|224.00,-254.40|227.50,-253.91|231.00,-253.69|234.50,-253.71|238.00,-254.00|241.50,-254.54|245.00,-255.34|248.50,-256.40|252.00,-257.71|255.50,-259.29|259.00,-261.11|262.50,-263.20|266.00,-265.54|269.50,-268.14|273.00,-271.00|276.50,-274.11|280.00,-277.49|283.50,-281.11|287.00,-285.00|290.50,-289.14|294.00,-293.54|297.50,-298.20
150.00,-297.14,283.00,-302.00,19,0.3167;150.00,-297.14|153.50,-292.54|157.00,-288.20|160.50,-284.11|164.00,-280.29|167.50,-276.71|171.00,-273.40|174.50,-270.34|178.00,-267.54|181.50,-265.00|185.00,-262.71|188.50,-260.69|192.00,-258.91|195.50,-257.40|199.00,-256.14|202.50,-255.14|206.00,-254.40|209.50,-253.91|213.00,-253.69|216.50,-253.71|220.00,-254.00|223.50,-254.54|227.00,-255.34|230.50,-256.40|234.00,-257.71|237.50,-259.29|241.00,-261.11|244.50,-263.20|248.00,-265.54|251.50,-268.14|255.00,-271.00|258.50,-274.11|262.00,-277.49|265.50,-281.11|269.00,-285.00|272.50,-289.14|276.00,-293.54|279.50,-298.20
151.50,-297.39,281.00,-302.00,18,0.3000;151.50,-297.39|155.00,-293.03|158.50,-288.93|162.00,-285.09|165.50,-281.50|169.00,-278.17|172.50,-275.10|176.00,-272.29|179.50,-269.73|183.00,-267.43|186.50,-265.39|190.00,-263.60|193.50,-262.07|197.00,-260.80|200.50,-259.79|204.00,-259.03|207.50,-258.53|211.00,-258.29|214.50,-258.30|218.00,-258.57|221.50,-259.10|225.00,-259.89|228.50,-260.93|232.00,-262.23|235.50,-263.79|239.00,-265.60|242.50,-267.67|246.00,-270.00|249.50,-272.59|253.00,-275.43|256.50,-278.53|260.00,-281.89|263.50,-285.50|267.00,-289.37|270.50,-293.50|274.00,-297.89|277.50,-302.53
145.00,-297.14,278.00,-302.00,19,0.3167;145.00,-297.14|148.50,-292.54|152.00,-288.20|155.50,-284.11|159.00,-280.29|162.50,-276.71|166.00,-273.40|169.50,-270.34|173.00,-267.54|176.50,-265.00|180.00,-262.71|183.50,-260.69|187.00,-258.91|190.50,-257.40|194.00,-256.14|197.50,-255.14|201.00,-254.40|204.50,-253.91|208.00,-253.69|211.50,-253.71|215.00,-254.00|218.50,-254.54|222.00,-255.34|225.50,-256.40|229.00,-257.71|232.50,-259.29|236.00,-261.11|239.50,-263.20|243.00,-265.54|246.50,-268.14|250.00,-271.00|253.50,-274.11|257.00,-277.49|260.50,-281.11|264.00,-285.00|267.50,-289.14|271.00,-293.54|274.50,-298.20
142.00,-296.90,282.00,-302.00,20,0.3333;142.00,-296.90|145.50,-292.06|149.00,-287.47|152.50,-283.14|156.00,-279.07|159.50,-275.26|163.00,-271.70|166.50,-268.40|170.00,-265.36|173.50,-262.57|177.00,-260.04|180.50,-257.77|184.00,-255.76|187.50,-254.00|191.00,-252.50|194.50,-251.26|198.00,-250.27|201.50,-249.54|205.00,-249.07|208.50,-248.86|212.00,-248.90|215.50,-249.20|219.00,-249.76|222.50,-250.57|226.00,-251.64|229.50,-252.97|233.00,-254.56|236.50,-256.40|240.00,-258.50|243.50,-260.86|247.00,-263.47|250.50,-266.34|254.00,-269.47|257.50,-272.86|261.00,-276.50|264.50,-280.40|268.00,-284.56|271.50,-288.97|275.00,-293.64|278.50,-298.57
128.00,-296.90,268.00,-302.00,20,0.3333;128.00,-296.90|131.50,-292.06|135.00,-287.47|138.50,-283.14|142.00,-279.07|145.50,-275.26|149.00,-271.70|152.50,-268.40|156.00,-265.36|159.50,-262.57|163.00,-260.04|166.50,-257.77|170.00,-255.76|173.50,-254.00|177.00,-252.50|180.50,-251.26|184.00,-250.27|187.50,-249.54|191.00,-249.07|194.50,-248.86|198.00,-248.90|201.50,-249.20|205.00,-249.76|208.50,-250.57|212.00,-251.64|215.50,-252.97|219.00,-254.56|222.50,-256.40|226.00,-258.50|229.50,-260.86|233.00,-263.47|236.50,-266.34|240.00,-269.47|243.50,-272.86|247.00,-276.50|250.50,-280.40|254.00,-284.56|257.50,-288.97|261.00,-293.64|264.50,-298.57
132.00,-296.66,279.00,-302.00,21,0.3500;132.00,-296.66|135.50,-291.57|139.00,-286.74|142.50,-282.17|146.00,-277.86|149.50,-273.80|153.00,-270.00|156.50,-266.46|160.00,-263.17|163.50,-260.14|167.00,-257.37|170.50,-254.86|174.00,-252.60|177.50,-250.60|181.00,-248.86|184.50,-247.37|188.00,-246.14|191.50,-245.17|195.00,-244.46|198.50,-244.00|202.00,-243.80|205.50,-243.86|209.00,-244.17|212.50,-244.74|216.00,-245.57|219.50,-246.66|223.00,-248.00|226.50,-249.60|230.00,-251.46|233.50,-253.57|237.00,-255.94|240.50,-258.57|244.00,-261.46|247.50,-264.60|251.00,-268.00|254.50,-271.66|258.00,-275.57|261.50,-279.74|265.00,-284.17|268.50,-288.86|272.00,-293.80|275.50,-299.00
159.50,-296.17,320.50,-302.00,23,0.3833;159.50,-296.17|163.00,-290.60|166.50,-285.29|170.00,-280.23|173.50,-275.43|177.00,-270.89|180.50,-266.60|184.00,-262.57|187.50,-258.80|191.00,-255.29|194.50,-252.03|198.00,-249.03|201.50,-246.29|205.00,-243.80|208.50,-241.57|212.00,-239.60|215.50,-237.89|219.00,-236.43|222.50,-235.23|226.00,-234.29|229.50,-233.60|233.00,-233.17|236.50,-233.00|240.00,-233.09|243.50,-233.43|247.00,-234.03|250.50,-234.89|254.00,-236.00|257.50,-237.37|261.00,-239.00|264.50,-240.89|268.00,-243.03|271.50,-245.43|275.00,-248.09|278.50,-251.00|282.00,-254.17|285.50,-257.60|289.00,-261.29|292.50,-265.23|296.00,-269.43|299.50,-273.89|303.00,-278.60|306.50,-283.57|310.00,-288.80|313.50,-294.29|317.00,-300.03
180.00,-296.66,327.00,-302.00,21,0.3500;180.00,-296.66|183.50,-291.57|187.00,-286.74|190.50,-282.17|194.00,-277.86|197.50,-273.80|201.00,-270.00|204.50,-266.46|208.00,-263.17|211.50,-260.14|215.00,-257.37|218.50,-254.86|222.00,-252.60|225.50,-250.60|229.00,-248.86|232.50,-247.37|236.00,-246.14|239.50,-245.17|243.00,-244.46|246.50,-244.00|250.00,-243.80|253.50,-243.86|257.00,-244.17|260.50,-244.74|264.00,-245.57|267.50,-246.66|271.00,-248.00|274.50,-249.60|278.00,-251.46|281.50,-253.57|285.00,-255.94|288.50,-258.57|292.00,-261.46|295.50,-264.60|299.00,-268.00|302.50,-271.66|306.00,-275.57|309.50,-279.74|313.00,-284.17|316.50,-288.86|320.00,-293.80|323.50,-299.00
