custom/current_screen,time/total_timesteps,custom/max_height,rollout/ep_rew_mean,time/fps,time/time_elapsed,rollout/ep_len_mean,time/iterations,train/policy_gradient_loss,train/loss,train/clip_range,train/n_updates,train/clip_fraction,train/explained_variance,train/approx_kl,train/value_loss,train/learning_rate,train/entropy_loss
2,88064,490.0,12.684364220000003,0,109829,14.77,43,-0.002138466354517732,2850.027587890625,0.2,200,0.00029296875,0.1588226556777954,0.00055201136,4810.984854125976,0.0001,-1.8965118937194347
2,90112,442.0,8.980352900000003,0,112244,15.53,44,-0.0025045103786396792,3394.53125,0.2,205,0.00322265625,0.10140210390090942,0.0012978204,6666.025987243653,0.0001,-1.9313431717455387
2,92160,442.0,18.08744052,0,114684,15.66,45,-0.002109717566054314,5116.72802734375,0.2,210,0.0001953125,0.08908611536026001,0.0009279278,8189.094422912598,0.0001,-1.9325483947992326
2,94208,442.0,16.787560480000003,0,117140,14.29,46,-0.003524423165072221,3937.74658203125,0.2,215,0.00107421875,0.08729702234268188,0.0008389597,8353.688356018067,0.0001,-1.918672226369381
2,96256,490.0,21.16059757,0,119535,16.8,47,-0.002764777501579374,3722.6474609375,0.2,220,0.0001953125,0.08564561605453491,0.0008863857,9074.831091308593,0.0001,-1.9019129224121571
2,98304,538.0,-0.7805671700000002,0,121943,15.96,48,-0.0030568504065740854,2503.692138671875,0.2,225,0.0017578125,0.06277203559875488,0.0013528962,7673.807623291015,0.0001,-1.9370956718921661
2,100352,522.0,0.882755130000001,0,124315,14.27,49,-0.003929211353533901,2399.1572265625,0.2,230,0.00380859375,0.14077866077423096,0.0012485473,5366.598873901367,0.0001,-1.89988372027874
2,102400,442.0,23.58703733,0,126725,15.03,50,-0.002050005231285468,2498.66748046875,0.2,235,0.00048828125,0.09657901525497437,0.0005378518,7364.723519897461,0.0001,-1.905308861285448
2,104448,442.0,11.471847669999999,0,129162,13.5,51,-0.004233287082752213,5066.34326171875,0.2,240,0.0033203125,0.06788718700408936,0.0013551902,8746.881103515625,0.0001,-1.8814337216317654
2,106496,442.0,0.5851692799999972,0,131643,13.53,52,-0.00474157944554463,5015.1455078125,0.2,245,0.00751953125,0.09090405702590942,0.0011530133,8272.13955078125,0.0001,-1.8682024724781514
