custom/current_screen,time/fps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/iterations,custom/max_height,time/total_timesteps,train/explained_variance,train/entropy_loss,train/policy_gradient_loss,train/loss,train/value_loss,train/clip_fraction,train/n_updates,train/approx_kl,train/learning_rate,train/clip_range
3,1,59.23,52187,-157.32970943,31,786.0,63488,0.03730207681655884,-1.6664590016007423,-0.00272768363065552,311.5914306640625,545.3461135864258,0.0751953125,127,0.009495869,0.0001,0.2
3,1,57.34,53591,-157.0443125,32,890.0,65536,0.06891798973083496,-1.6690712959870049,0.004966169960148956,268.905517578125,537.7181549072266,0.07116168478260869,130,0.014788262,0.0001,0.2
3,1,53.51,55117,-158.18365071,33,890.0,67584,0.07265317440032959,-1.6713745453778435,0.0034744996467933934,192.0373077392578,505.00052597943477,0.140625,131,0.009534221,0.0001,0.2
3,1,51.13,56620,-160.41447906,34,786.0,69632,0.05064934492111206,-1.6561170555651188,-0.0035946160089224575,280.2540283203125,760.1964887619018,0.08212890625,136,0.007819143,0.0001,0.2
3,1,53.48,58055,-160.50933867,35,890.0,71680,0.058116793632507324,-1.6571806994351475,0.0014296718449755149,338.6793212890625,588.8740511807529,0.014204545454545454,137,0.0055113854,0.0001,0.2
3,1,57.79,59441,-164.34660645,36,890.0,73728,0.09145212173461914,-1.6502878434956074,-0.0036199932568706573,205.01905822753906,519.3298471450805,0.08369140625,142,0.007481703,0.0001,0.2
3,1,66.69,61068,-169.02746272000002,37,786.0,75776,0.10085314512252808,-1.6466323073421205,0.0007202796280450587,292.1035461425781,522.205006463187,0.10477120535714286,146,0.013059366,0.0001,0.2
3,1,70.53,62579,-173.99014221999997,38,890.0,77824,0.07203102111816406,-1.6458572275936603,-0.0038375820848159494,262.0197448730469,1000.7268336296081,0.07333984375,151,0.007324217,0.0001,0.2
3,1,69.16,63998,-173.61180351,39,890.0,79872,0.13198280334472656,-1.633681485056877,-0.00519663468876388,187.70217895507812,619.2924514770508,0.14453125,156,0.010141875,0.0001,0.2
3,1,71.9,65438,-180.42528219999997,40,890.0,81920,0.2133580446243286,-1.6307348966598512,-0.006748570103081874,140.6127166748047,429.1339562416077,0.12275390625,161,0.010755127,0.0001,0.2
3,1,69.34,66768,-173.90294159999996,41,890.0,83968,0.20419096946716309,-1.653696582430885,-0.00012888222016275874,293.3486328125,426.0207359677269,0.17807539682539683,163,0.012432002,0.0001,0.2
3,1,71.29,68153,-172.45131871,42,890.0,86016,0.22429817914962769,-1.6081635855859326,-0.0026463381044806973,232.2910919189453,435.6791726389239,0.05015120967741935,165,0.008925659,0.0001,0.2
3,1,70.1,69569,-165.64420604000003,43,890.0,88064,0.23057609796524048,-1.6350682519376278,-0.003309718516538851,230.04527282714844,406.32782011032106,0.09697265625,170,0.010288164,0.0001,0.2
3,1,74.19,70874,-169.02401211,44,890.0,90112,0.11764723062515259,-1.6342485254461114,0.0008465949784625661,212.63748168945312,975.1013977050782,0.06647727272727273,172,0.009486884,0.0001,0.2
